animal	mother	father
113	NA	NA
114	NA	NA
115	NA	NA
116	NA	NA
117	NA	NA
119	NA	NA
120	NA	NA
121	NA	NA
122	NA	NA
123	NA	NA
124	NA	NA
125	NA	NA
129	NA	NA
130	NA	NA
131	NA	NA
132	NA	NA
133	NA	NA
134	NA	NA
135	NA	NA
137	NA	NA
138	NA	NA
139	NA	NA
140	NA	NA
141	NA	NA
142	NA	NA
144	NA	NA
145	NA	NA
147	NA	NA
148	NA	NA
149	NA	NA
150	NA	NA
152	NA	NA
153	NA	NA
154	NA	NA
155	NA	NA
156	NA	NA
157	NA	NA
158	NA	NA
159	NA	NA
160	NA	NA
161	NA	NA
162	NA	NA
163	NA	NA
165	NA	NA
166	NA	NA
167	NA	NA
168	NA	NA
169	NA	NA
170	NA	NA
171	NA	NA
173	NA	NA
174	NA	NA
175	NA	NA
176	NA	NA
177	NA	NA
F114xM121.1	114	121
F114xM121.2	114	121
F114xM121.3	114	121
F114xM121.5	114	121
F114xM121.6	114	121
F114xM121.7	114	121
F114xM121.8	114	121
F114xM121.9	114	121
F114xM121.10	114	121
F115xM137.1	115	137
F115xM137.2	115	137
F115xM137.3	115	137
F115xM137.4	115	137
F115xM137.5	115	137
F115xM137.7	115	137
F115xM137.8	115	137
F115xM137.9	115	137
F115xM137.10	115	137
F116xM142.1	116	142
F116xM142.2	116	142
F116xM142.3	116	142
F116xM142.4	116	142
F116xM142.5	116	142
F116xM142.6	116	142
F116xM142.7	116	142
F116xM142.8	116	142
F116xM142.9	116	142
F116xM142.10	116	142
F120xM144.1	120	144
F120xM144.2	120	144
F120xM144.3	120	144
F120xM144.4	120	144
F120xM144.6	120	144
F120xM144.7	120	144
F120xM144.8	120	144
F120xM144.9	120	144
F120xM144.10	120	144
F123xM148.1	123	148
F123xM148.2	123	148
F123xM148.3	123	148
F123xM148.4	123	148
F123xM148.6	123	148
F123xM148.7	123	148
F123xM148.8	123	148
F123xM148.9	123	148
F123xM148.10	123	148
F130xM158.4	130	158
F130xM158.5	130	158
F130xM158.6	130	158
F130xM158.7	130	158
F130xM158.8	130	158
F130xM158.9	130	158
F130xM158.10	130	158
F141xM177.1	141	177
F141xM177.2	141	177
F141xM177.3	141	177
F141xM177.4	141	177
F141xM177.5	141	177
F141xM177.6	141	177
F141xM177.7	141	177
F141xM177.8	141	177
F141xM177.9	141	177
F141xM177.10	141	177
F150xM162.1	150	162
F150xM162.2	150	162
F150xM162.3	150	162
F150xM162.4	150	162
F150xM162.5	150	162
F150xM162.6	150	162
F150xM162.7	150	162
F150xM162.8	150	162
F150xM162.9	150	162
F150xM162.10	150	162
F169xM160.1	169	160
F169xM160.2	169	160
F169xM160.3	169	160
F169xM160.4	169	160
F169xM160.5	169	160
F169xM160.6	169	160
F169xM160.7	169	160
F169xM160.9	169	160
F169xM160.10	169	160
F165xM124.1	165	124
F165xM124.2	165	124
F165xM124.3	165	124
F165xM124.4	165	124
F165xM124.5	165	124
F165xM124.10	165	124
F167xM122.1	167	122
F167xM122.2	167	122
F167xM122.3	167	122
F167xM122.4	167	122
F167xM122.5	167	122
F167xM122.6	167	122
F167xM122.7	167	122
F167xM122.8	167	122
F167xM122.9	167	122
F167xM122.10	167	122
F134xM121.1	134	121
F134xM121.4	134	121
F134xM121.7	134	121
F134xM121.9	134	121
F135xM137.1	135	137
F135xM137.2	135	137
F135xM137.7	135	137
F139xM142.1	139	142
F139xM142.2	139	142
F139xM142.4	139	142
F139xM142.8	139	142
F139xM142.9	139	142
F139xM142.10	139	142
F163xM148.1	163	148
F163xM148.2	163	148
F163xM148.3	163	148
F163xM148.4	163	148
F163xM148.5	163	148
F163xM148.6	163	148
F163xM148.7	163	148
F163xM148.8	163	148
F163xM148.9	163	148
F163xM148.10	163	148
F174xM117.1	174	117
F174xM117.2	174	117
F174xM117.3	174	117
F174xM117.4	174	117
F174xM117.5	174	117
F174xM117.6	174	117
F174xM117.7	174	117
F174xM117.8	174	117
F174xM117.9	174	117
F174xM117.10	174	117
F157xM160.1	157	160
F157xM160.2	157	160
F157xM160.4	157	160
F157xM160.6	157	160
F157xM160.7	157	160
F157xM160.10	157	160
F153xM124.1	153	124
F153xM124.2	153	124
F153xM124.4	153	124
F153xM124.5	153	124
F153xM124.7	153	124
F153xM124.8	153	124
F153xM124.10	153	124
F140xM119.1	140	119
F140xM119.2	140	119
F140xM119.3	140	119
F140xM119.4	140	119
F140xM119.5	140	119
F140xM119.6	140	119
F140xM119.7	140	119
F140xM119.8	140	119
F140xM119.9	140	119
F140xM119.10	140	119
