id,tmnt,prod,time,feign,sex
113,fed,,,0,
114,fed,,,0,0
115,fed,,,0,0
116,fed,,,0,0
117,fed,5,35,1,1
119,fed,1,120,1,1
120,fed,,,0,0
121,fed,,,0,1
122,fed,0,42,1,1
123,fed,,,0,0
124,fed,1,10,1,1
125,fed,18,10,1,
129,fed,15,120,1,
130,fed,,,0,0
131,fed,,,0,0
132,fed,10,61,1,
133,fed,10,68,1,
134,fed,,,0,0
135,fed,,,0,0
137,fed,,,0,1
138,fed,,,0,
139,fed,,,0,0
140,fed,17,120,1,0
141,fed,6,6,1,0
142,fed,,,0,1
144,fed,,,0,1
145,fed,,,0,
147,fed,19,18,1,
148,fed,,,0,1
149,fed,8,37,1,0
150,fed,5,51,1,0
152,fed,3,48,1,
153,fed,18,24,1,0
154,fed,,,0,
155,fed,5,120,1,0
156,fed,,,0,
157,fed,20,6,1,0
158,fed,,,0,1
159,fed,3,10,1,
160,fed,3,90,1,1
161,fed,,,0,0
162,fed,15,120,1,1
163,fed,,,0,0
165,fed,1,2,1,0
166,fed,,,0,
167,fed,1,14,1,0
168,fed,6,120,1,
169,fed,2,9,1,0
170,fed,1,8,1,0
171,fed,15,28,1,
173,fed,,,0,0
174,fed,,,0,0
175,fed,,,0,1
176,fed,,,0,
177,fed,,,0,1
211,one,1,10,1,0
212,one,6,120,1,1
213,one,,,0,0
215,one,19,22,1,1
216,one,3,68,1,0
217,one,,,0,0
218,one,2,110,1,0
219,one,2,72,1,1
220,one,11,44,1,1
221,one,1,24,1,0
222,one,,,,
223,one,1,9,1,0
225,one,,,0,
226,one,2,83,1,0
227,one,3,22,1,1
228,one,5,7,1,0
229,one,2,8,1,1
230,one,4,29,1,1
231,one,,,0,
232,one,5,10,1,0
233,one,,,0,1
234,one,5,10,1,
235,one,7,30,1,0
236,one,1,10,1,1
237,one,5,57,1,1
238,one,2,8,1,0
239,one,,,0,0
240,one,5,19,1,0
241,one,1,19,1,1
242,one,1,80,1,0
244,one,4,97,1,0
245,one,0,120,1,0
246,one,7,5,1,0
247,one,3,18,1,0
248,one,10,30,1,1
249,one,1,3,1,0
250,one,2,60,1,0
252,one,,,0,0
253,one,,,0,
254,one,3,71,1,0
255,one,7,3,1,1
256,one,2,30,1,0
257,one,2,5,1,1
258,one,,,0,
259,one,9,120,1,0
260,one,0,58,1,0
261,one,0,30,1,1
262,one,0,19,1,
263,one,1,30,1,
264,one,2,27,1,1
265,one,,,0,1
266,one,8,16,1,1
267,one,1,75,1,1
269,one,6,20,1,1
271,one,,,0,1
272,one,,,0,
273,one,4,7,1,
274,one,,,0,
275,one,5,32,1,1
276,one,1,120,1,0
277,one,,,0,0
311,two,,,,
312,two,1,120,1,1
313,two,1,120,1,1
315,two,1,34,1,1
316,two,9,4,1,1
317,two,1,82,1,0
318,two,5,6,1,
319,two,2,22,1,0
322,two,1,9,1,1
323,two,1,120,1,
324,two,,,0,1
325,two,18,9,1,
328,two,4,10,1,1
329,two,8,5,1,1
330,two,,,0,0
331,two,2,18,1,1
334,two,3,4,1,1
335,two,1,120,1,
336,two,1,81,1,1
337,two,,,0,1
338,two,5,43,1,1
340,two,6,8,1,1
341,two,7,5,1,0
342,two,3,56,1,0
344,two,,,0,1
345,two,3,38,1,1
346,two,2,12,1,1
347,two,5,29,1,0
348,two,,,0,0
349,two,,,0,0
350,two,2,45,1,0
351,two,2,66,1,0
352,two,,,0,1
353,two,3,120,1,0
354,two,6,10,1,
355,two,8,20,1,0
356,two,1,20,1,1
357,two,,,0,
358,two,0,77,1,
359,two,1,15,1,0
360,two,,,0,0
362,two,,,0,0
363,two,,,0,1
364,two,6,11,1,1
365,two,,,0,0
366,two,,,0,1
367,two,8,10,1,1
368,two,,,0,0
369,two,1,14,1,0
370,two,0,4,1,
371,two,6,2,1,0
372,two,,,,
373,two,3,35,1,
375,two,8,32,1,0
376,two,,,0,
377,two,1,15,1,0
378,two,0,120,1,
379,two,0,24,1,0
380,two,2,120,1,
381,two,1,120,1,0
382,two,,,0,1
