id,method,prods_1,dur_1,prods_2,dur_2,prods_3,dur_3
001,eraser,0,0,0,0,0,0
002,eraser,0,0,0,0,0,0
002b,finger,15,19,5,22,1,10
003,eraser,0,0,0,0,0,0
004,finger,6,55,6,36,1,36
005,finger,3,8,1,30,3,45
006,finger,3,60,4,96,3,95
007,finger,4,41,1,14,1,10
008,finger,2,210,50,0,0,0
009,finger,1,96,3,44,1,43
010,finger,20,0,0,0,0,0
011,finger,2,28,4,32,4,40
012,finger,20,0,0,0,0,0
013,finger,10,53,2,51,3,27
014,finger,20,0,0,0,0,0
015,finger,3,70,1,59,1,154
016,finger,4,52,1,109,1,47
017,finger,3,25,2,49,5,58
018,finger,20,0,0,0,0,0
019,finger,20,26,3,19,2,13
020,finger,4,19,1,48,2,58
021,finger,20,0,0,0,0,0
022,finger,8,43,2,46,1,54
023,finger,20,0,0,0,0,0
024,finger,20,0,0,0,0,0
025,finger,20,0,0,0,0,0
026,finger,9,29,1,64,1,60
027,finger,5,57,1,78,1,90
028,finger,6,29,3,18,4,25
029,finger,30,0,0,0,0,0
030,finger,18,25,4,20,30,0
031,finger,14,45,1,36,2,27
032,finger,30,0,0,0,0,0
033,finger,30,0,0,0,0,0
034,finger,25,28,7,20,3,33
035,finger,30,0,0,0,0,0
036,finger,30,0,0,0,0,0
